CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0138,M,29,IV,CIV:D;HIST:D;GEO:F;KISW:C;ENGL:D;BIO:D;B-MATH:F,s0101
S0101/0139,M,*E,*E,,s0101
S0101/0140,M,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;BIO:C;B-MATH:F,s0101
S0101/0141,M,13,I,CIV:C;HIST:C;GEO:B;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:A,s0101
S0101/0142,M,18,II,CIV:C;HIST:C;GEO:B;KISW:C;ENGL:B;PHY:D;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0143,M,27,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;BIO:F;B-MATH:C,s0101
S0101/0144,M,23,III,CIV:D;HIST:C;GEO:D;F.ART:C;KISW:D;ENGL:C;PHY:D;CHEM:C;BIO:D;B-MATH:C,s0101
S0101/0145,M,16,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:A;BIO:B;B-MATH:B,s0101
S0101/0146,M,*E,*E,,s0101
S0101/0147,M,*E,*E,,s0101
S0101/0148,M,*E,*E,,s0101
S0101/0149,M,18,II,CIV:B;HIST:C;GEO:D;KISW:B;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:B,s0101
S0101/0150,M,*E,*E,,s0101
S0101/0151,M,25,III,CIV:C;HIST:D;GEO:C;KISW:D;ENGL:D;BIO:C;B-MATH:D,s0101
S0101/0152,M,19,II,CIV:B;HIST:C;GEO:D;KISW:C;ENGL:B;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0153,M,25,III,CIV:C;HIST:D;GEO:F;F.ART:F;KISW:B;ENGL:C;BIO:D;B-MATH:D,s0101
S0101/0154,M,17,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:A;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0155,M,16,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:A;BIO:C;B-MATH:B,s0101
S0101/0157,M,22,III,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0158,M,18,II,CIV:B;HIST:C;GEO:D;KISW:B;ENGL:B;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0159,M,*E,*E,,s0101
S0101/0160,M,21,II,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0161,M,19,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:B;BIO:B;B-MATH:D,s0101
S0101/0162,M,20,II,CIV:B;HIST:C;GEO:C;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0163,M,17,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;COMP;STUD:C;B-MATH:B,s0101
